[05-Dec-2011 14:54:23] PHP Fatal error:  Call to undefined method Xi\Filelib\Integration\Symfony\FilelibBundle\DependencyInjection\FilelibExtension::setConstructorOptions() in /wwwroot/filelib/library/Xi/Filelib/Integration/Symfony/FilelibBundle/DependencyInjection/FilelibExtension.php on line 116
[05-Dec-2011 15:00:43] PHP Fatal error:  Call to undefined method Xi\Filelib\FileLibrary::addFileProfile() in /wwwroot/filelib-demo/app/cache/dev/appDevDebugProjectContainer.php on line 341
[05-Dec-2011 15:01:21] PHP Fatal error:  Class 'Xi\Filelib\FileProfile' not found in /wwwroot/filelib-demo/app/cache/dev/appDevDebugProjectContainer.php on line 374
[05-Dec-2011 15:32:49] PHP Parse error:  syntax error, unexpected T_VARIABLE in /wwwroot/filelib/library/Xi/Filelib/Integration/Symfony/FilelibBundle/DependencyInjection/FilelibExtension.php on line 140
[05-Dec-2011 15:44:46] PHP Fatal error:  Class 'X' not found in /wwwroot/filelib/library/Xi/Filelib/Plugin/Image/VersionPlugin.php on line 44
[05-Dec-2011 15:45:43] PHP Fatal error:  Class 'X' not found in /wwwroot/filelib/library/Xi/Filelib/Plugin/Image/VersionPlugin.php on line 44
[05-Dec-2011 15:45:43] PHP Fatal error:  Class 'X' not found in /wwwroot/filelib/library/Xi/Filelib/Plugin/Image/VersionPlugin.php on line 44
[05-Dec-2011 15:45:44] PHP Fatal error:  Class 'X' not found in /wwwroot/filelib/library/Xi/Filelib/Plugin/Image/VersionPlugin.php on line 44
[05-Dec-2011 15:45:52] PHP Fatal error:  Class 'X' not found in /wwwroot/filelib/library/Xi/Filelib/Plugin/Image/VersionPlugin.php on line 44
[05-Dec-2011 15:46:12] PHP Fatal error:  Class 'X' not found in /wwwroot/filelib/library/Xi/Filelib/Plugin/Image/VersionPlugin.php on line 44
[05-Dec-2011 15:46:44] PHP Fatal error:  Class 'X' not found in /wwwroot/filelib/library/Xi/Filelib/Plugin/Image/VersionPlugin.php on line 47
[05-Dec-2011 15:47:22] PHP Fatal error:  Class 'X' not found in /wwwroot/filelib/library/Xi/Filelib/Plugin/Image/VersionPlugin.php on line 49
[05-Dec-2011 15:47:34] PHP Fatal error:  Class 'X' not found in /wwwroot/filelib/library/Xi/Filelib/Plugin/Image/VersionPlugin.php on line 49
[05-Dec-2011 15:48:01] PHP Fatal error:  Class 'X' not found in /wwwroot/filelib/library/Xi/Filelib/Plugin/Image/VersionPlugin.php on line 51
[05-Dec-2011 16:04:15] PHP Fatal error:  Call to undefined method Xi\Filelib\Backend\Doctrine2Backend::setFolderEntity() in /wwwroot/filelib-demo/app/cache/dev/appDevDebugProjectContainer.php on line 367
[05-Dec-2011 16:14:32] PHP Fatal error:  Allowed memory size of 134217728 bytes exhausted (tried to allocate 129239041 bytes) in /wwwroot/ole-filelib-demo/library/Zend/Debug.php on line 82
[05-Dec-2011 16:14:54] PHP Fatal error:  Allowed memory size of 134217728 bytes exhausted (tried to allocate 130549761 bytes) in /wwwroot/ole-filelib-demo/library/Zend/Debug.php on line 82
[05-Dec-2011 16:15:00] PHP Fatal error:  Allowed memory size of 134217728 bytes exhausted (tried to allocate 130549761 bytes) in /wwwroot/ole-filelib-demo/library/Zend/Debug.php on line 82
[05-Dec-2011 16:15:08] PHP Fatal error:  Allowed memory size of 134217728 bytes exhausted (tried to allocate 130549761 bytes) in /wwwroot/ole-filelib-demo/library/Zend/Debug.php on line 82
[05-Dec-2011 16:15:33] PHP Fatal error:  Allowed memory size of 134217728 bytes exhausted (tried to allocate 130549761 bytes) in /wwwroot/ole-filelib-demo/library/Zend/Debug.php on line 82
[05-Dec-2011 16:24:29] PHP Fatal error:  Call to a member function isWriteable() on a non-object in /wwwroot/filelib/library/Xi/Filelib/File/FileOperator.php on line 313
[05-Dec-2011 16:25:03] PHP Fatal error:  Call to a member function isWriteable() on a non-object in /wwwroot/filelib/library/Xi/Filelib/File/FileOperator.php on line 313
[05-Dec-2011 16:25:05] PHP Fatal error:  Call to a member function isWriteable() on a non-object in /wwwroot/filelib/library/Xi/Filelib/File/FileOperator.php on line 313
[05-Dec-2011 16:25:09] PHP Fatal error:  Call to a member function isWriteable() on a non-object in /wwwroot/filelib/library/Xi/Filelib/File/FileOperator.php on line 313
[05-Dec-2011 16:25:38] PHP Fatal error:  Call to a member function isWriteable() on a non-object in /wwwroot/filelib/library/Xi/Filelib/File/FileOperator.php on line 313
[05-Dec-2011 16:32:39] PHP Fatal error:  Call to a member function isWriteable() on a non-object in /wwwroot/filelib/library/Xi/Filelib/File/FileOperator.php on line 313
[05-Dec-2011 16:32:50] PHP Fatal error:  Call to a member function isWriteable() on a non-object in /wwwroot/filelib/library/Xi/Filelib/File/FileOperator.php on line 313
[05-Dec-2011 16:33:13] PHP Fatal error:  Call to a member function isWriteable() on a non-object in /wwwroot/filelib/library/Xi/Filelib/File/FileOperator.php on line 313
[07-Dec-2011 12:22:34] PHP Fatal error:  require(): Cannot redeclare class xi\filelib\integration\filelibbundle\controller\filecontroller in /wwwroot/filelib-demo/vendor/symfony/src/Symfony/Component/ClassLoader/DebugUniversalClassLoader.php on line 55
[07-Dec-2011 13:15:02] PHP Fatal error:  Class 'Xi\Filelib\Integration\Symfony\FilelibBundle\FilelibBundle' not found in /wwwroot/filelib-demo/app/AppKernel.php on line 20
